#name	value	
D00174	32103_at	
M95586	38627_at	
M95586	401_s_at	
M95586	871_s_at	
BC022297	474_at	
U49379	474_at	
X97335	37698_at	
X14346	34587_at	
U39573	34161_at	
BX538344	34161_at	
AF027971	34161_at	
AF029669	41480_at	
AF029669	41479_s_at	
BC000667	41480_at	
BC000667	41479_s_at	
AF029670	41480_at	
AF029670	41479_s_at	
AF260269	32141_at	
BC054489	41159_at	
BC051800	41159_at	
BC053365	2037_s_at	
BC053365	238_at	
BC053365	37946_at	
M60724	2037_s_at	
M60724	238_at	
M60724	37946_at	
BC057792	40739_at	
BC016480	37107_at	
BC042418	37107_at	
BT009780	37107_at	
U28049	40560_at	
BC044925	35321_at	
AB014609	37408_at	
U58856	37408_at	
AB046856	32355_at	
AJ278120	32355_at	
AB032974	32355_at	
AL050270	32355_at	
J04144	37013_at	
BC036375	37013_at	
M26657	37013_at	
M26658	37013_at	
BC001264	38171_at	
AL834303	1330_at	
U78876	1330_at	
BC008336	1330_at	
AF172823	1330_at	
AB036090	38762_at	
BC015505	38762_at	
AF083255	38762_at	
AL050096	38762_at	
BC008208	38762_at	
BC002367	37766_s_at	
AF035309	37766_s_at	
AF071476	35112_at	
BC053321	1437_at	
X52479	1437_at	
X52479	32304_at	
L07738	33064_at	
AB032251	41091_at	
U05237	41091_at	
AY282495	41091_at	
U28386	40407_at	
BC036285	226_at	
BC036285	227_g_at	
BC036285	41768_at	
U39657	1543_at	
U39657	2014_s_at	
BX641121	1543_at	
BX641121	2014_s_at	
AF153820	36349_at	
Z46629	33436_at	
BT006875	33436_at	
BC009522	40919_at	
BC000603	34085_at	
BC032352	41059_at	
AF020314	41059_at	
AF161346	41059_at	
AJ010102	41059_at	
AJ010103	41059_at	
BC049220	32174_at	
BC011777	32174_at	
BC047534	34541_at	
BC047534	689_at	
L02867	34541_at	
L02867	689_at	
BC015335	40758_at	
BT007111	40758_at	
BC033329	34858_at	
D79998	34858_at	
BC009684	40761_at	
BC009684	40762_g_at	
BC009684	41002_at	
D83779	38056_at	
AK094864	38056_at	
AF070545	38056_at	
BC006503	35630_at	
X87342	35630_at	
X53587	38746_at	
X53587	406_at	
X66357	32452_at	
AF040630	31905_at	
U40347	36332_at	
D67029	36207_at	
AK130317	36207_at	
AF189713	41220_at	
BC054004	41220_at	
AF142408	41220_at	
AJ312319	41220_at	
AJ312320	41220_at	
AK022493	41220_at	
AL080131	41220_at	
AF142569	41220_at	
AK027069	41220_at	
BC000407	34885_at	
BC008718	40532_at	
Y00839	31816_at	
BC015908	31816_at	
BC032559	37760_at	
BC032559	37761_at	
BC014020	37760_at	
BC014020	37761_at	
U70669	37760_at	
U70669	37761_at	
AB015019	37760_at	
AB015019	37761_at	
AB015020	37760_at	
AB015020	37761_at	
AB017119	37760_at	
AB017119	37761_at	
AK127291	37760_at	
AK127291	37761_at	
AF030165	34488_i_at	
AF030165	34489_f_at	
BC003565	33887_at	
AF260566	33887_at	
AK097197	33887_at	
BC002344	39812_at	
U25041	39812_at	
BC009605	39965_at	
U81800	33143_s_at	
U58197	40476_s_at	
U58197	40477_r_at	
AK123615	40476_s_at	
AK123615	40477_r_at	
BC003094	39398_s_at	
BC003094	39399_at	
BC006364	39398_s_at	
BC006364	39399_at	
AK091959	39398_s_at	
AK091959	39399_at	
AJ006417	39398_s_at	
AJ006417	39399_at	
BC039654	39398_s_at	
BC039654	39399_at	
AL096745	39398_s_at	
AL096745	39399_at	
BC012824	39398_s_at	
BC012824	39399_at	
AF193042	39398_s_at	
AF193042	39399_at	
AK129619	39398_s_at	
AK129619	39399_at	
AF173856	33744_at	
AL080150	33744_at	
BC020062	33744_at	
AL080167	33744_at	
AF177341	33744_at	
AF151908	38667_at	
AF177342	38667_at	
AF177343	38667_at	
AK001488	38667_at	
U01147	39058_at	
AK126882	39058_at	
BC001440	1011_s_at	
BT007161	1011_s_at	
BC009837	38219_at	
BC009837	772_at	
D10656	38219_at	
D10656	772_at	
BC044891	32811_at	
X98507	32811_at	
AB036830	41151_at	
BC045108	352_at	
BC045108	38023_at	
AB052947	40034_r_at	
BC039735	40034_r_at	
AB052948	40034_r_at	
AB052949	40034_r_at	
AB052950	40034_r_at	
AF092565	35753_at	
BC000579	35753_at	
AK126169	35753_at	
AB018275	33798_at	
AL133597	33798_at	
AY145883	33798_at	
AY168921	33798_at	
BC019090	40982_at	
AB037822	40982_at	
X96401	35145_at	
BC033186	35145_at	
BC033614	34259_at	
AB014564	34259_at	
AK125717	34259_at	
BC004266	34259_at	
AK023003	34259_at	
NM_003553	33615_at	
AF028823	39416_at	
BC039015	40396_at	
AF070573	40396_at	
L25851	1140_at	
BC044657	33535_at	
Z69881	36482_s_at	
AB007859	38626_at	
AL831960	38626_at	
AK128386	38626_at	
AK001683	38626_at	
BC026288	1423_at	
BC026288	37662_at	
BT007416	1423_at	
BT007416	37662_at	
BC029032	34636_at	
BC010457	32455_s_at	
BC002875	32455_s_at	
U88153	32455_s_at	
U88154	32455_s_at	
AF547989	32455_s_at	
X66403	39834_at	
BC006508	32197_at	
BC015164	36675_r_at	
BT007001	36675_r_at	
BC011934	38817_at	
AF047437	38817_at	
AF047437	41421_at	
BC016163	41421_at	
BC032381	41421_at	
BC010050	41421_at	
AB020716	41421_at	
AL831849	41421_at	
AL833974	41421_at	
BC000335	40584_at	
BC000335	40804_at	
BC013731	37668_at	
AF275902	37668_at	
AJ297362	37668_at	
BC051787	37127_at	
AK026398	37127_at	
AB023143	37127_at	
AK026393	37127_at	
AL080108	35210_at	
AB018296	35210_at	
BC039011	33569_at	
D50532	33569_at	
M11025	37799_at	
AF529374	37799_at	
AB070933	37519_at	
AK124286	37519_at	
U83192	34701_at	
AF028825	34701_at	
AF067171	37298_at	
BC009295	38483_at	
BC001055	38482_at	
AF093823	38482_at	
BT006829	38482_at	
AL157493	35653_at	
BT006998	35653_at	
BC000985	41043_at	
U31501	35265_at	
X01405	1939_at	
X01405	1974_s_at	
X01405	31618_at	
AF307851	1939_at	
AF307851	1974_s_at	
AF307851	31618_at	
X60020	1939_at	
X60020	1974_s_at	
X60020	31618_at	
AY429684	1939_at	
AY429684	1974_s_at	
AY429684	31618_at	
BC041058	33029_at	
AB088477	36829_at	
BC028207	36829_at	
BC033870	32254_at	
AJ225044	32254_at	
BC013300	33266_at	
BC000442	33266_at	
NM_000987	32444_at	
X69392	32444_at	
BC000280	32838_at	
M69181	32838_at	
M69181	40900_at	
S67247	32838_at	
BC008968	40900_at	
AF062077	37510_at	
BT007319	37510_at	
BC001720	37587_at	
BT009838	37587_at	
AB007854	33387_at	
AY327406	33387_at	
Z38133	34471_at	
AF111784	39101_at	
X13988	32729_at	
BC001939	39367_at	
AK124838	39367_at	
AK125030	39367_at	
AK001392	39367_at	
BC019040	38653_at	
U43383	31781_at	
U65652	31781_at	
BC053514	38881_i_at	
BC053514	38882_r_at	
AF087856	39722_at	
AF303584	39722_at	
AF303585	39722_at	
AB028970	39722_at	
AL137641	39722_at	
AF044209	39722_at	
AB028451	39722_at	
AB028450	39722_at	
AF303586	39722_at	
BC050594	39722_at	
BC058511	39722_at	
BC056862	39722_at	
AF023614	31410_at	
AY302137	31410_at	
BC001891	35349_at	
BC050593	39787_at	
AF176806	39787_at	
U00968	32135_at	
BC026962	32135_at	
AY358769	34533_at	
BC004114	38910_at	
BC004114	41865_at	
BC025300	33133_at	
BC051748	1028_at	
BC051748	41004_at	
BC038598	34738_at	
Y14486	34738_at	
Y14487	34738_at	
AJ012755	31526_f_at	
AJ012755	34677_f_at	
AF041336	34740_at	
U52518	33600_at	
U52518	805_at	
AB030506	37511_at	
BC002944	37511_at	
L38486	39066_at	
AK093877	40031_at	
M74542	40031_at	
BC004102	40031_at	
BC034988	39776_at	
BC034988	36439_at	
AF037439	35971_at	
AF037439	36632_at	
AB028986	39866_at	
BC007196	39866_at	
BX640815	39866_at	
AL162082	39866_at	
BC009452	39866_at	
BC025317	39866_at	
BC005268	31860_at	
BT006768	31860_at	
X73029	1418_at	
X73029	1419_g_at	
X73029	1948_f_at	
S76479	1948_f_at	
BC002640	34799_at	
BC002640	41561_s_at	
BC038094	34799_at	
BC038094	41561_s_at	
X03168	33377_at	
AF028789	38107_at	
BX641031	38107_at	
BC003613	40107_at	
BT007006	40107_at	
AF399910	32120_at	
AL122116	32120_at	
AL137585	32120_at	
AF345347	32120_at	
D43947	39783_at	
BC008591	39783_at	
AK130007	39783_at	
D50645	41627_at	
BT006709	41627_at	
BC017292	32181_at	
BC003683	32181_at	
D86970	36940_at	
AF105277	36940_at	
AF252258	36940_at	
L05568	34604_at	
BC003616	37700_at	
BC003616	394_at	
AF091082	37700_at	
AF091082	394_at	
BT007018	37700_at	
BT007018	394_at	
BC023567	37509_at	
AF120151	37509_at	
M63623	35903_at	
BC005926	40019_at	
BC035572	36313_at	
BC026017	39161_at	
AF305686	39161_at	
AB062437	39161_at	
BC030796	35729_at	
BX537615	35729_at	
AB018270	35729_at	
U57352	40317_at	
AL834182	40317_at	
M57502	33965_at	
BC027591	40361_at	
AL117459	37792_s_at	
AL117459	37793_r_at	
Y15572	37792_s_at	
Y15572	37793_r_at	
BC002723	37792_s_at	
BC002723	37793_r_at	
BC012075	37937_at	
BC031085	35157_at	
M21121	1403_s_at	
M21121	1404_r_at	
M21121	1405_i_at	
BC054481	37084_at	
BC054481	37085_g_at	
BC054481	37086_at	
AF039955	34434_at	
Z70292	33789_at	
Z70292	33790_at	
U58913	36444_s_at	
U58913	36445_at	
X03754	36103_at	
D63785	36103_at	
BC027888	36103_at	
BT006783	36103_at	
BC031485	38528_at	
BC031485	38529_at	
U19822	38528_at	
U19822	38529_at	
AY315627	38528_at	
AY315627	38529_at	
AY315619	38528_at	
AY315619	38529_at	
AY315620	38528_at	
AY315620	38529_at	
AY315623	38528_at	
AY315623	38529_at	
AJ534888	38528_at	
AJ534888	38529_at	
AJ534889	38528_at	
AJ534889	38529_at	
BC041785	38358_at	
BT007126	33621_at	
BT007126	38506_at	
X71348	33621_at	
X71348	38506_at	
D13969	32191_at	
D13969	32192_g_at	
U85245	35741_at	
BC027459	35741_at	
BC034378	32394_s_at	
BC034378	32395_r_at	
BC010114	32394_s_at	
BC010114	32395_r_at	
BC003518	32394_s_at	
BC003518	32395_r_at	
AF378753	34945_at	
M92303	36557_at	
M92303	36558_at	
M92303	36559_g_at	
BC037311	36557_at	
BC037311	36558_at	
BC037311	36559_g_at	
AY393857	36557_at	
AY393857	36558_at	
AY393857	36559_g_at	
BC060758	32064_at	
Y13467	32064_at	
BC006517	32064_at	
AB021742	38205_at	
BC011375	34289_f_at	
BC011375	34290_f_at	
M24900	31637_s_at	
M24900	32520_at	
BC056148	31637_s_at	
BC056148	32520_at	
J04088	1592_at	
J04088	40145_at	
J04088	904_s_at	
BC035343	1097_s_at	
BC011017	33828_at	
BC034697	38610_s_at	
J04029	38610_s_at	
M77663	38610_s_at	
D78367	34615_at	
BC031559	40694_at	
NM_004138	31594_at	
NM_004138	36310_at	
BC009971	31594_at	
BC009971	34012_at	
BC009971	34568_at	
BC009971	36310_at	
BC009971	36310_at	
BC033252	31594_at	
BC033252	34012_at	
BC041070	31594_at	
BC041070	34012_at	
BC041070	36310_at	
X86570	34012_at	
X86570	36310_at	
NM_003770	31422_at	
X81419	33537_at	
X90763	34627_at	
AK092276	36883_at	
BC002661	36883_at	
BC002641	37582_at	
BT007261	37582_at	
BC010409	40899_at	
BC002539	40899_at	
Y00503	40899_at	
AB041267	40899_at	
AB041268	40899_at	
S69510	34556_at	
BC042437	39052_at	
BT007186	39052_at	
M28646	39052_at	
BC039169	37473_at	
BC039169	601_s_at	
S72493	37473_at	
S72493	601_s_at	
X05803	34301_r_at	
AK095342	34301_r_at	
BC000159	34301_r_at	
AF040723	31391_at	
M23410	2047_s_at	
BC000441	2047_s_at	
BC006195	40881_at	
AK095084	40881_at	
BC003601	33618_at	
BC003601	41800_s_at	
BC011837	33618_at	
BC011837	41800_s_at	
AF029777	38628_at	
U18420	34836_at	
AF041240	31417_at	
U48730	33869_at	
U48730	472_at	
U48730	473_g_at	
BC020868	472_at	
BC020868	473_g_at	
L29277	289_at	
L29277	39708_at	
BC000627	289_at	
BC000627	39708_at	
BC029783	289_at	
BC029783	39708_at	
BC004295	34320_at	
BC004295	36369_at	
BC008849	34320_at	
BC008849	36369_at	
AF312393	36369_at	
AF000421	36369_at	
L38933	32577_s_at	
AB030304	32577_s_at	
BC008792	32577_s_at	
BC049370	38423_at	
BC015882	32259_at	
BC010276	39378_at	
BC015041	40147_at	
BC015041	605_at	
BC015041	625_at	
U18009	40147_at	
U18009	605_at	
U18009	625_at	
BC001913	40147_at	
BC001913	605_at	
BC001913	625_at	
U25779	40147_at	
U25779	605_at	
U25779	625_at	
AF005068	1993_s_at	
AF005068	33724_at	
AF005068	604_at	
U14680	1993_s_at	
U14680	33724_at	
U14680	604_at	
U64805	1993_s_at	
U64805	33724_at	
U64805	604_at	
BC062429	1993_s_at	
BC062429	33724_at	
U18018	2084_s_at	
BC016623	2084_s_at	
BC007242	2084_s_at	
U10492	36010_at	
U10493	36010_at	
BC008286	41225_at	
BC002682	275_at	
BC002682	41225_at	
BC002682	41226_at	
BC035701	275_at	
BC035701	41225_at	
BC035701	41226_at	
U37707	39684_at	
BC047017	39684_at	
BC030287	34655_at	
BC030287	34656_at	
BC032225	32339_at	
D13902	36449_s_at	
D13902	36450_at	
BC044587	39844_at	
AB011172	38810_at	
AK027734	38810_at	
BC042297	38794_at	
BC042297	38795_s_at	
M27819	33336_at	
S68680	33336_at	
J02764	40643_at	
J02764	40644_g_at	
J02963	40643_at	
J02963	40644_g_at	
BC024147	38668_at	
AB011125	38668_at	
NM_005497	33041_at	
BC012228	40185_at	
BC041765	40185_at	
AK124465	40185_at	
AK128790	40185_at	
AL133013	40185_at	
BC008798	39920_r_at	
Y10256	974_at	
X85792	35650_at	
AB002354	35650_at	
AK074103	35650_at	
AJ002220	35650_at	
AL389948	35650_at	
BC011656	40591_at	
BC021302	37304_at	
BC047870	38862_at	
Y11215	38862_at	
X16666	31555_at	
X16665	39610_at	
M73999	39610_at	
U59298	33620_at	
M92299	34251_at	
AJ270993	160042_s_at	
M16937	37618_at	
U81599	40327_at	
M18185	611_at	
AB023141	35878_at	
BC013401	36592_at	
BT007411	36592_at	
BC001269	39423_f_at	
BX641166	40056_at	
BC011888	40056_at	
BC047081	37158_at	
BC029872	37158_at	
AY148482	37158_at	
Z74615	35473_at	
Z74615	35474_s_at	
J00113	35473_at	
S64596	35473_at	
J00111	35473_at	
J00111	35474_s_at	
J00112	35473_at	
J00112	35474_s_at	
J00110	35473_at	
AF371328	34042_at	
BC005853	36427_at	
BC012978	36427_at	
BC031406	40631_at	
AK024068	39419_at	
AF327452	39419_at	
AY117689	39419_at	
AF542172	39419_at	
AB011088	39419_at	
X91879	39419_at	
AY219897	39419_at	
AF044321	34723_at	
U79270	34723_at	
X85750	37565_at	
BC042541	1617_at	
BC010385	39152_f_at	
BC010385	39153_r_at	
D28118	32628_at	
D28118	350_at	
BC010264	36098_at	
BC010264	36099_at	
M19507	33284_at	
AF039571	34460_at	
BC031401	34460_at	
AB014512	34460_at	
U43923	508_at	
AK129758	508_at	
AB014547	39707_at	
BC035609	39707_at	
AF176379	32056_at	
AB008753	32056_at	
AB002110	32056_at	
BC036012	33107_at	
BX537955	33107_at	
AF213365	33107_at	
AB020705	33107_at	
D86981	38470_i_at	
D86981	38471_r_at	
AF017782	38470_i_at	
AF017782	38471_r_at	
AB011165	41625_at	
U06715	31773_at	
BT007096	31773_at	
AF113019	34694_at	
AF113019	455_at	
AF113019	34695_at	
U66618	34694_at	
U66618	455_at	
BC020756	31493_s_at	
BC022044	31493_s_at	
AF006061	308_f_at	
AF006061	309_f_at	
AF006061	40316_at	
BC020760	308_f_at	
BC020760	309_f_at	
BC020760	40316_at	
AF185611	1332_f_at	
AF185611	308_f_at	
AF185611	309_f_at	
AF185611	40316_at	
AF006060	308_f_at	
AF006060	309_f_at	
AF006060	40316_at	
V00593	36784_at	
BC029365	36784_at	
BC002975	37988_at	
BC030210	37988_at	
M81758	33545_at	
BC003097	38453_at	
BC003097	38454_g_at	
BC003097	590_at	
AF059198	31380_at	
AK055561	31380_at	
M28526	268_at	
M28526	37397_at	
AF393678	268_at	
AF393678	37397_at	
S66450	268_at	
S66450	37397_at	
AF142992	39643_at	
BC016027	34647_at	
BX571764	34647_at	
BT006943	34647_at	
BC009527	33354_at	
AY014180	33354_at	
BC036756	1139_at	
BC036756	33635_at	
AF458591	33239_at	
BC029524	33239_at	
D29677	35618_at	
BC056895	35618_at	
AB003103	1192_at	
U79745	39841_at	
BC039867	33193_at	
AK000917	33193_at	
AB020629	35717_at	
BC047765	35717_at	
AY028898	35389_s_at	
AY028898	35390_at	
AK097296	35389_s_at	
AK097296	35390_at	
AB067475	38574_at	
AY028897	38574_at	
AK056533	38574_at	
